Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
이화집,31점,리뷰없음,삼계탕   옻닭,부산 영도구 봉래동3가 163-2 ,https://www.diningcode.com/profile.php?rid=R9py8mTMgFdo,없음,"X :129.045604, Y :35.0953810"
황제쟁반짜장,31점,1.0점,중국집   쟁반짜장,부산광역시 영도구 봉래동3가 161-8 ,https://www.diningcode.com/profile.php?rid=BbaZhU1ia5KB,  쟁반짜장 :6000원   쟁반볶음밥+짜장면 :6500원   쟁반사천짬뽕 :7000원   쟁반볶음짬뽕 :6500원   쟁반잡채밥 :6500원   쟁반마파두부밥 :6500원   쟁반날치알볶음밥 :6500원   쟁반삼선우동 :7000원   쟁반오삼두루치기밥 :6500원   쟁반해물잡탕밥 :10000원   쟁반낙지볶음덮밥 :6500원   쟁반사천탕수육 소 :21000원   쟁반사천탕수육 소 대 :26000원  ,"X :129.045177, Y :35.0950007"
인생통닭,31점,리뷰없음,치킨   닭강정,부산광역시 영도구 봉래동2가 73-2 ,https://www.diningcode.com/profile.php?rid=pAMuPmEUrS9C,없음,"X :129.042132, Y :35.0933578"
영도옛날국수,31점,리뷰없음,국수   물국수,부산광역시 영도구 봉래동3가 19-1 ,https://www.diningcode.com/profile.php?rid=hDDmrEjXtATe,없음,"X :129.043708, Y :35.0928086"
하오츠,31점,리뷰없음,짬뽕   중식당,부산 영도구 봉래동1가 95-5 ,https://www.diningcode.com/profile.php?rid=QGecKhSEp0NM,  하오츠짬뽕 :10000원   볶음짬뽕 :8000원   차돌짬뽕 :7000원   짬뽕 :6000원   해물짜짱 :8000원  ,"X :129.040383, Y :35.0931349"
청불닭발,31점,리뷰없음,닭발,부산광역시 영도구 봉래동1가 92-18 ,https://www.diningcode.com/profile.php?rid=Aj4lpvaab8YD,없음,"X :129.039818, Y :35.0933337"
삼삼밀면,31점,리뷰없음,중화요리   밀면,부산광역시 영도구 봉래동3가 137 ,https://www.diningcode.com/profile.php?rid=apm9EroRpNfV,없음,"X :129.044795, Y :35.0946016"
주희정해물탕,31점,리뷰없음,해산물   해물탕,부산광역시 영도구 봉래동3가 19-1 ,https://www.diningcode.com/profile.php?rid=eFzZjrwRoHzK,  가마솥해물탕(소) :40000원   가마솥해물탕(중) :50000원   가마솥해물탕(대) :60000원   가마솥조개구이(대) :50000원  ,"X :129.043708, Y :35.0928086"
동강기사식당,31점,리뷰없음,기사식당   돼지불백,부산광역시 영도구 봉래동1가 93 ,https://www.diningcode.com/profile.php?rid=klX641nmbQHV,  돼지불백 :7000원   고추장불백 :7000원   복국 :7500원   복매운탕 :7500원   회비빔밥 :7000원  ,"X :129.040227, Y :35.0934800"
동남횟집,31점,리뷰없음,초밥   횟집,부산광역시 영도구 봉래동3가 8-3 ,https://www.diningcode.com/profile.php?rid=eBNx3eVhPbC3,  모듬회     전복회     회정식 :10000원   생선구이 :13000원   물회 :10000원  ,"X :129.043583, Y :35.0921889"
배수지횟집,31점,리뷰없음,횟집,부산광역시 영도구 봉래동5가 140-1 ,https://www.diningcode.com/profile.php?rid=ee1UAxOvTYO7,  모듬회 :50000원   회덮밥 :12000원   밀치 :30000원   우럭+밀치 :40000원   도다리+밀치 :40000원   회무침 :30000원   매운탕(추가) :5000원  ,"X :129.052762, Y :35.0922412"
어우량,31점,리뷰없음,한식,부산광역시 영도구 봉래동1가 48-3 ,https://www.diningcode.com/profile.php?rid=pSBotKJSvPfX,없음,"X :129.039480, Y :35.0933935"
영도분식,31점,리뷰없음,분식,부산광역시 영도구 봉래동1가 95-3 ,https://www.diningcode.com/profile.php?rid=Iq8Ojsr6uoH2,  비빔냉면 :6500원   물냉면 :6000원   쫄면 :5500원   우동 :4000원   잔치국수 :4000원  ,"X :129.040340, Y :35.0931537"
대전집,31점,리뷰없음,한식,부산광역시 영도구 봉래동5가 113-11 ,https://www.diningcode.com/profile.php?rid=mLmP2Hg8nD4F,없음,"X :129.053087, Y :35.0938488"
모정감자탕,31점,리뷰없음,감자탕   해장국,부산광역시 영도구 봉래동5가 147-5 ,https://www.diningcode.com/profile.php?rid=7V4F9Tn1Luao,  뼈해장국 :15000원   우거지감자탕 :20000원   묵은지감자탕 :22000원   간장뼈찜 :20000원   양념쭈꾸미 :23000원   우거지뼈해장국 :7000원   묵은지뼈해장국 :7500원   육개장 :7000원  ,"X :129.051450, Y :35.0932817"
명가숯불갈비,31점,리뷰없음,갈비탕   숯불갈비,부산광역시 영도구 봉래동2가 23-29 ,https://www.diningcode.com/profile.php?rid=fgpj0hq1iR1F,  갈비탕 :8000원  ,"X :129.042220, Y :35.0924732"
수복식당,31점,리뷰없음,한식,부산광역시 영도구 봉래동2가 87 ,https://www.diningcode.com/profile.php?rid=ZmyFB4smK2WI,  정식 :5500원   순두부 :6000원   청국장 :6000원   된장찌개 :6000원   김치찌개 :6000원  ,"X :129.041578, Y :35.0935564"
